Titulo,Votos,Rating,Fechas,Year,Uploader,Tamanio,vistas
Nioh Complete Edition,24,4.08,07/11/17,2017,ElAmigos,3 gb,36682
Northgard,23,3.78,07/03/18,2018,ElAmigos,602 MB,39099
Observation,116,4.12,22/05/19,2018,ElAmigos,32 GB,86196
Observer,8,3.75,15/08/17,2017,CODEX,79 GB,12061
One Piece Pirate Warriors 3 Gold Edition,26,3.96,28/08/15,2015,ElAmigos,87 GB,13655
One Piece Unlimited World Red Deluxe Edition,15,3.67,25/08/17,2017,ElAmigos,27 GB,11856
ONE PIECE WORLD SEEKER Deluxe Edition,28,3.93,14/03/19,2019,ElAmigos,1 GB,69902
Onimusha Warlords,9,3.89,15/01/19,2019,ElAmigos,67 GB,36405
Outcast Second Contact,6,3.33,14/11/17,2017,ElAmigos,5 GB,7704
Outer Wilds,73,4.25,30/05/19,2019,ElAmigos,3 gb,80544
Overcooked 2,36,3.97,07/08/18,2019,ElAmigos,95 GB,71862
Party Hard 2,7,4.14,25/10/18,2018,ElAmigos,47 GB,1185
Past Cure,8,3.63,23/02/18,2018,CODEX,8.93 GB,8436
Paw Patrol On A Roll,9,3.44,24/10/18,2018,ElAmigos,485 MB,5797
PAYDAY 2 Ultimate Edition,24,3.79,13/08/13,2013,ElAmigos,1 GB,13278
Phantom Doctrine,20,3.85,14/08/18,2018,ElAmigos,59 GB,14106
Phoenix Point,69,4.09,03/12/19,2019,ElAmigos,12 GB,80343
Pine,18,3.72,10/10/19,2020,ElAmigos,25 GB,19368
PixARK,38,4.03,01/06/19,2019,ElAmigos,3 GB,57702
PLANET ALPHA,13,3.85,04/09/18,2018,ElAmigos,56 GB,12193
Planet Nomads,33,4.45,25/05/17,2013,ElAmigos,16 GB,42551
Portal 2 COMPLETE,23,4.35,19/04/11,2011,ElAmigos,40 GB,9859
Portal Knights,37,4.16,18/05/17,2017,ElAmigos,07 GB,24988
Quantum Break Steam Edition,35,3.97,29/09/16,2016,ElAmigos,2 GB,49826
RAD,10,3.6,19/08/19,2019,ElAmigos,72 GB,22140
Rad Rodgers Radical Edition,6,3,21/02/19,2019,ElAmigos,08 GB,19592
RAGE 2 Deluxe Edition,57,4.23,15/05/19,2019,ElAmigos,8 GB,72657
Rage Complete Edition,20,4.25,04/10/11,2011,ElAmigos,2 GB,50960
Raiders of the Broken Planet,10,3.5,22/09/17,2017,ElAmigos,8 GB,1028
Re-Legion Deluxe Edition,7,3.57,31/01/19,2019,GOG,31 GB,5409
ReCore Definitive Edition,20,3.85,16/09/16,2016,ElAmigos,5 GB,15719
Red Faction Guerrilla Re-Mars-tered + Update 4514,13,4.38,02/07/18,2018,ElAmigos,1 GB,11775
Redout Enhanced Edition,10,3.6,02/09/16,2016,ElAmigos,93 GB,5951
Remember Me,41,3.83,03/06/13,2013,ElAmigos,73 GB,46815
Remnant From the Ashes,43,4.23,20/08/19,2019,ElAmigos,7 GB,79801
Remothered Tormented Fathers HD,15,3.8,30/01/16,2016,PLAZA,43 GB,14731
Republique Remastered Complete Season,14,3.93,26/02/15,2015,ElAmigos,75 GB,35706
Resident Evil 2 2019 Deluxe Edition,110,4.22,25/01/19,2019,ElAmigos,1 GB,3542
Resident Evil 4 Ultimate HD Edition,30,4.4,28/07/14,2014,ElAmigos,77 GB,35357
Resident Evil 5 Gold Edition,30,4.07,15/09/09,2009,ElAmigos,5.49 GB,22299
Resident Evil HD Remaster / Biohazard HD,26,4.04,20/01/15,2015,ElAmigos,48 GB,29200
